Family/kid friendly,Air conditioning,Carbon monoxide detector,TV,Lock on bedroom door,Fire extinguisher,Buzzer/wireless intercom,Free parking on premises,Laptop friendly workspace,Shampoo,Pets allowed,Hangers,Internet,Cable TV,First aid kit,Essentials,Hair dryer,Elevator,Smoke detector,Iron,review_score_category,log_price
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,high,5.010635294096256
1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,high,5.1298987149230735
1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,high,4.976733742420574
0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,low,4.74493212836325
0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,high,4.442651256490317
1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,high,4.4188406077965965
1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,high,4.787491742782046
0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,high,4.787491742782046
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,high,3.58351893845611
0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,high,4.605170185988092
1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.010635294096256
1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.298317366548036
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,high,4.955827057601262
0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,high,4.31748811353631
1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.59511985013459
0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,high,4.882801922586372
0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,mid,4.59511985013459
1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.382026634673881
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,high,3.688879454113936
1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.90527477843843
1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,high,4.007333185232471
1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.003946305945459
1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,high,4.553876891600541
1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,high,5.003946305945459
1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,high,5.1929568508902095
0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,high,4.653960350157523
0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,high,4.31748811353631
1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,5.220355825078324
1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,high,4.48863636973214
0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,high,4.382026634673881
0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.8283137373023015
0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,high,3.912023005428147
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,high,4.74493212836325
1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,high,4.68213122712422
1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,high,4.31748811353631
0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,high,4.997212273764115
0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,mid,5.783825182329737
0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,high,4.007333185232471
1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,high,4.158883083359672
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,high,6.620073206530356
0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,high,4.7791234931115305
1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,high,4.74493212836325
0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,high,4.68213122712422
0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,mid,4.948759890378168
1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,high,3.688879454113936
1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,high,5.857933154483459
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,high,4.8283137373023015
0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,high,4.4998096703302615
1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,high,4.691347882229144
1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,high,4.7791234931115305
1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,high,4.4998096703302615
0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,high,4.7791234931115305
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,high,3.80666248977032
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,high,5.1647859739235145
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,high,4.700480365792417
0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,mid,3.80666248977032
0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,high,5.857933154483459
1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,high,4.574710978503383
0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,mid,4.0943445622221
0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,high,5.010635294096256
1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,high,4.859812404361672
1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,high,5.087596335232384
0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,high,3.871201010907892
